Name,Coating,Material,Thickness,State,Weight,Art,Fgrp,Pos,VariantRule,Row.PartNumber,Row.Quantity,Row.HasCADMatch,Row.CADPart.Id,Row.CADPart.CarryOver,Row.CADPart.KdpMatch
PartBody,,PBT-GF30 preliminary,,0,2.34615425439128,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409525,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409530,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409535,True,OK Inherited
PartBody,,Copper preliminary,,0,0.858188086136916,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409540,True,OK Inherited
PartBody,,Copper preliminary,,0,0.858188086136916,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409545,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,10.0660709650647,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409550,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409559,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409564,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409569,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409578,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,2.34615425439128,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409583,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409588,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409593,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409598,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409603,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409608,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409613,True,OK Inherited
PartBody,,PA preliminary,,0,0.0,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409618,True,OK Inherited
PartBody,,PA preliminary,,0,1.20337161462552,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409623,True,OK Inherited
